arxiv_id,idea_title,idea_github_url
2606.24428,Adversarial Distillation and Verification for Robust Agent Experience Learning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Adversarial%20Distillation%20and%20Verification%20for%20Robust%20Agent%20E.md
2606.24530,BayesCert: A Bayesian Latent-Variable Model for Ground-Truth Confidence in Coding Agent Benchmarks,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/BayesCert%20A%20Bayesian%20Latent-Variable%20Model%20for%20Ground-Truth%20.md
2606.24667,Calibrated Dense Retrieval via LLM Proxy Regularization,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Calibrated%20Dense%20Retrieval%20via%20LLM%20Proxy%20Regularization.md
2606.24548,Causal Constraint Fine-Tuning for Text-to-Image Generation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Causal%20Constraint%20Fine-Tuning%20for%20Text-to-Image%20Generation.md
2606.24548,Causal Intervention Attention for Counterfactual Reasoning in Text-to-Image Generation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Causal%20Intervention%20Attention%20for%20Counterfactual%20Reasoning%20i.md
2606.19930,Consistency-Enforced Corrective Feedback for Hierarchical RL Agents,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Consistency-Enforced%20Corrective%20Feedback%20for%20Hierarchical%20RL.md
2606.24855,CoReDeR: Compositional Reward Decomposition and Recomposition for Multi-Task Agent Training,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/CoReDeR%20Compositional%20Reward%20Decomposition%20and%20Recomposition.md
2606.24112,Cross-Modal Grounding for Factual Atomic Claims in Multimodal Misinformation Detection,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Cross-Modal%20Grounding%20for%20Factual%20Atomic%20Claims%20in%20Multimoda.md
2606.24742,CT-WVM: Continuous-Time World Value Models for Delay-Robust Robotic Manipulation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/CT-WVM%20Continuous-Time%20World%20Value%20Models%20for%20Delay-Robust%20R.md
2606.24876,Direct3DLatent: Learning 3D-Native Latent Representations for Single-View Reconstruction,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Direct3DLatent%20Learning%203D-Native%20Latent%20Representations%20for.md
2606.24876,DirectLSS: Learnable Latent Surface Splatting for Single-View 3D Reconstruction,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/DirectLSS%20Learnable%20Latent%20Surface%20Splatting%20for%20Single-View.md
2606.12345,Distributionally Robust Local Reduction for Microgrid Optimal Control under Distributional Shift,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Distributionally%20Robust%20Local%20Reduction%20for%20Microgrid%20Optima.md
2606.24855,Domain-Agnostic Transfer Verification for Agentic Language Model Training,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Domain-Agnostic%20Transfer%20Verification%20for%20Agentic%20Language%20M.md
2606.24112,DRM2D: Distributionally Robust Multimodal Misinformation Detection via Cross-Modal Mutual Information Invariance,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/DRM2D%20Distributionally%20Robust%20Multimodal%20Misinformation%20Dete.md
2606.24133,Factorized Implicit Data Scheduling for Efficient Online Data Mixing in LLM Pretraining,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Factorized%20Implicit%20Data%20Scheduling%20for%20Efficient%20Online%20Dat.md
2606.22875,FedFreqMark: Federated Data-Level Frequency-Domain Watermarking for Architecture-Invariant Generative Model Ownership,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/FedFreqMark%20Federated%20Data-Level%20Frequency-Domain%20Watermarki.md
2606.22875,FedStateMark: Model-State-Dependent Watermarking for Federated Generative Models,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/FedStateMark%20Model-State-Dependent%20Watermarking%20for%20Federate.md
2606.24231,FlowGCS: Goal-Conditioned Sampling for Flow-Matching Planners via Sparse Binary Feedback,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/FlowGCS%20Goal-Conditioned%20Sampling%20for%20Flow-Matching%20Planners.md
2606.24874,GauBRDF: Single-Stage Diffusion Generation of Non-Lambertian 3D Gaussians with Global Illumination and Physically-Based BRDF,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/GauBRDF%20Single-Stage%20Diffusion%20Generation%20of%20Non-Lambertian%20.md
2606.24876,GeoLatent: End-to-End Single-View 3D Reconstruction via Jointly Trained Latent Encoder with Depth Priors,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/GeoLatent%20End-to-End%20Single-View%203D%20Reconstruction%20via%20Joint.md
2606.12345,Global Optimization for Non-convex Semi-infinite Programs in Microgrid Optimal Control via Spatial Branch-and-Bound Integrated with Local Reduction,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Global%20Optimization%20for%20Non-convex%20Semi-infinite%20Programs%20in.md
2606.24133,Gradient-Guided Adaptive Data Scheduling for Efficient LLM Pre-training,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Gradient-Guided%20Adaptive%20Data%20Scheduling%20for%20Efficient%20LLM%20P.md
2606.24133,IV-DiagVal: Causal Validation of Synthetic Clinical Dialogues Using Instrumental Variable Regression,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/IV-DiagVal%20Causal%20Validation%20of%20Synthetic%20Clinical%20Dialogues.md
2606.24597,LatentWorld: Augmenting Language World Models with Continuous Latent Embeddings for Non-Verbal State Prediction,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/LatentWorld%20Augmenting%20Language%20World%20Models%20with%20Continuous.md
2606.19930,Localized Dynamics Model for Offline Policy Optimization in GUI Agents,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Localized%20Dynamics%20Model%20for%20Offline%20Policy%20Optimization%20in%20.md
2606.24548,MACE: Multi-Judge Adversarial Counterfactual Evaluation for Unbiased Causal Reasoning in Text-to-Image Models,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/MACE%20Multi-Judge%20Adversarial%20Counterfactual%20Evaluation%20for%20U.md
2606.24855,MADI: A Modular Agentic Data Interface for Decoupled Training Data Curation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/MADI%20A%20Modular%20Agentic%20Data%20Interface%20for%20Decoupled%20Training.md
2606.24530,Meta-Contrastive Task Optimization for Adaptive Coding Agent Evaluation,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Meta-Contrastive%20Task%20Optimization%20for%20Adaptive%20Coding%20Agent.md
2606.24597,Meta-LWM: Few-Shot Adaptation of Language World Models via Gradient-Based Meta-Learning,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Meta-LWM%20Few-Shot%20Adaptation%20of%20Language%20World%20Models%20via%20Gr.md
2606.24597,Narrative World Models: Leveraging Passive Text for Action-Conditioned Prediction via Masked Language Modeling,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Narrative%20World%20Models%20Leveraging%20Passive%20Text%20for%20Action-Co.md
2606.24888,PathStraightness: Automatic Guidance Scale Selection via Diffusion Path Geometry in Modular DiT Frameworks,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/PathStraightness%20Automatic%20Guidance%20Scale%20Selection%20via%20Diff.md
2606.24888,RADiT: Resolution-Adaptive Diffusion Transformers with Consistency Training,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/RADiT%20Resolution-Adaptive%20Diffusion%20Transformers%20with%20Consis.md
2606.19926,Self-Supervised Action Learning from UI Tree Diffs for Mobile GUI Agents,https://github.com/GML-FMGroup/DailyResearchIdea/blob/main/2026-06-24/Self-Supervised%20Action%20Learning%20from%20UI%20Tree%20Diffs%20for%20Mobil.md
